ticker,median_dollar_volume,dollar_volume_rank,as_of_date,computed_month
SPY,1096038669.4099998,1,2026-09-11,2026-09
NVDA,836978847.9950001,2,2026-09-11,2026-09
MU,813173348.735,3,2026-09-11,2026-09
SNDK,522971855.125,4,2026-09-11,2026-09
AAPL,483066280.28,5,2026-09-11,2026-09
MSFT,430328428.4,6,2026-09-11,2026-09
QQQ,401170906.17,7,2026-09-11,2026-09
AMZN,400730606.975,8,2026-09-11,2026-09
META,329905723.33000004,9,2026-09-11,2026-09
INTC,316028661.145,10,2026-09-11,2026-09
GOOGL,312332231.365,11,2026-09-11,2026-09
LQD,309831898.31,12,2026-09-11,2026-09
AMD,309442804.08000004,13,2026-09-11,2026-09
IWM,303824265.605,14,2026-09-11,2026-09
SPCX,301248343.03499997,15,2026-09-11,2026-09
TSLA,301022605.71500003,16,2026-09-11,2026-09
AVGO,239752952.175,17,2026-09-11,2026-09
TSM,228046420.20999998,18,2026-09-11,2026-09
SMH,217597034.865,19,2026-09-11,2026-09
GOOG,213961774.42000002,20,2026-09-11,2026-09
HYG,166682849.1175,21,2026-09-11,2026-09
SOXX,166603920.035,22,2026-09-11,2026-09
AMAT,166453816.76,23,2026-09-11,2026-09
NFLX,166245002.2,24,2026-09-11,2026-09
STX,158050679.065,25,2026-09-11,2026-09
WDC,155246698.28,26,2026-09-11,2026-09
BITO,151900089.305,27,2026-09-11,2026-09
PLTR,149422481.225,28,2026-09-11,2026-09
ORCL,141653976.9225,29,2026-09-11,2026-09
SOXL,138676363.78500003,30,2026-09-11,2026-09
LITE,137137275.48,31,2026-09-11,2026-09
ASML,135896866.755,32,2026-09-11,2026-09
XLE,131898688.71,33,2026-09-11,2026-09
BAC,130391873.65,34,2026-09-11,2026-09
MRVL,129553615.45,35,2026-09-11,2026-09
SKHY,128723741.49499999,36,2026-09-11,2026-09
LRCX,126151948.17750001,37,2026-09-11,2026-09
XLF,125155032.02250001,38,2026-09-11,2026-09
DRAM,124855246.83000001,39,2026-09-11,2026-09
LLY,119814057.66,40,2026-09-11,2026-09
XLV,119080256.155,41,2026-09-11,2026-09
GEV,117974645.405,42,2026-09-11,2026-09
NBIS,117161222.94999999,43,2026-09-11,2026-09
GDX,113921328.44,44,2026-09-11,2026-09
CAT,106923574.82,45,2026-09-11,2026-09
DELL,101701896.03,46,2026-09-11,2026-09
TLT,101174850.475,47,2026-09-11,2026-09
BE,100032752.43,48,2026-09-11,2026-09
WMT,99512136.53,49,2026-09-11,2026-09
EWY,99003030.92,50,2026-09-11,2026-09
V,96994953.7875,51,2026-09-11,2026-09
NOW,89665711.86,52,2026-09-11,2026-09
KRE,89603614.86749999,53,2026-09-11,2026-09
CSCO,89509494.3825,54,2026-09-11,2026-09
EEM,88382164.0025,55,2026-09-11,2026-09
CRM,85488146.125,56,2026-09-11,2026-09
KLAC,84942073.05,57,2026-09-11,2026-09
XLI,84363601.93,58,2026-09-11,2026-09
PANW,81166707.78999999,59,2026-09-11,2026-09
IGV,80756906.225,60,2026-09-11,2026-09
TXN,80288273.725,61,2026-09-11,2026-09
UNH,79526500.5,62,2026-09-11,2026-09
EFA,79319418.32,63,2026-09-11,2026-09
XLP,78623006.715,64,2026-09-11,2026-09
KO,77931532.645,65,2026-09-11,2026-09
RSP,77790196.025,66,2026-09-11,2026-09
XLK,77479569.915,67,2026-09-11,2026-09
HOOD,76998896.3575,68,2026-09-11,2026-09
TQQQ,76117219.195,69,2026-09-11,2026-09
JNJ,74548144.08,70,2026-09-11,2026-09
INTU,74081094.0175,71,2026-09-11,2026-09
MA,72886641.34,72,2026-09-11,2026-09
IBIT,72731975.31,73,2026-09-11,2026-09
SNOW,72222541.285,74,2026-09-11,2026-09
JPM,71992411.09,75,2026-09-11,2026-09
APP,70687233.5,76,2026-09-11,2026-09
COHR,70373702.16499999,77,2026-09-11,2026-09
UBER,70133729.095,78,2026-09-11,2026-09
XBI,69866620.14500001,79,2026-09-11,2026-09
QCOM,69601600.725,80,2026-09-11,2026-09
VCIT,68221517.1575,81,2026-09-11,2026-09
XOM,68180396.315,82,2026-09-11,2026-09
GLW,67955228.57,83,2026-09-11,2026-09
VRT,67356940.1775,84,2026-09-11,2026-09
GLD,67074690.095,85,2026-09-11,2026-09
BSX,63176655.480000004,86,2026-09-11,2026-09
T,63052063.355000004,87,2026-09-11,2026-09
VZ,62548160.35,88,2026-09-11,2026-09
COST,61861853.86,89,2026-09-11,2026-09
GS,61316862.035,90,2026-09-11,2026-09
GE,60698390.515,91,2026-09-11,2026-09
