ticker,price,adv,bars,status,reason
VLY,14.45,4355413.0,751.0,PASS,
WAL,82.97,511957.4,751.0,FAIL,"price $82.97, ADV 511,957"
ZION,69.16,902374.35,751.0,FAIL,"price $69.16, ADV 902,374"
CMA,,,,FAIL,no bars returned
FHN,25.52,3799953.4,751.0,PASS,
SNV,,,,FAIL,no bars returned
PB,72.68,638041.4,751.0,FAIL,"price $72.68, ADV 638,041"
CFR,161.46,246602.3,751.0,FAIL,"price $161.46, ADV 246,602"
HOMB,30.73,1200430.6,751.0,PASS,
UMBF,139.12,296721.65,751.0,FAIL,"price $139.12, ADV 296,722"
FFIN,34.5,405744.1,751.0,FAIL,"ADV 405,744"
BANF,114.92,60683.05,751.0,FAIL,"price $114.92, ADV 60,683"
PNFP,99.81,572357.95,139.0,FAIL,"bars 139<750, price $99.81, ADV 572,358"
WSBC,40.08,517715.35,751.0,FAIL,"ADV 517,715"
ONB,26.11,3318814.8,751.0,PASS,
SBRA,22.03,1850766.6,751.0,PASS,
OHI,50.97,843921.45,751.0,FAIL,"price $50.97, ADV 843,921"
DOC,22.08,3423781.9,751.0,PASS,
NHI,79.95,309508.6,751.0,FAIL,"price $79.95, ADV 309,509"
UMH,15.4,238599.15,751.0,FAIL,"ADV 238,599"
IRT,16.4,1549404.05,751.0,PASS,
PK,14.59,2742555.05,751.0,PASS,
RHP,128.89,244530.35,751.0,FAIL,"price $128.89, ADV 244,530"
XHR,21.03,323743.0,751.0,FAIL,"ADV 323,743"
INN,6.91,609673.85,751.0,FAIL,"ADV 609,674"
SVC,8.53,1604184.8,751.0,PASS,
APLE,16.61,1532706.8,751.0,PASS,
AROC,38.39,1024564.0,751.0,PASS,
MTDR,51.71,861854.1,751.0,FAIL,"price $51.71, ADV 861,854"
CIVI,,,,FAIL,no bars returned
MGY,25.76,3456081.3,751.0,PASS,
MUR,39.4,824992.7,751.0,FAIL,"ADV 824,993"
PR,21.37,6378743.9,751.0,PASS,
RRC,38.87,1887805.25,751.0,PASS,
CTRA,,,,FAIL,no bars returned
SM,33.51,2270784.9,751.0,PASS,
WKC,36.27,529961.75,751.0,FAIL,"ADV 529,962"
CPE,,,,FAIL,no bars returned
NOG,21.8,2350591.65,751.0,PASS,
HUN,12.81,3352372.35,751.0,PASS,
CLF,10.96,17869096.85,751.0,PASS,
TROX,6.38,1542296.6,751.0,PASS,
X,,,,FAIL,no bars returned
ATI,199.84,632924.55,751.0,FAIL,"price $199.84, ADV 632,925"
CENX,46.36,1080409.5,751.0,PASS,
KRO,6.64,225588.05,751.0,FAIL,"ADV 225,588"
WLK,75.23,575889.5,751.0,FAIL,"price $75.23, ADV 575,890"
OLN,23.64,1885889.35,751.0,PASS,
ASH,66.56,285342.5,751.0,FAIL,"price $66.56, ADV 285,342"
NX,18.26,146507.8,751.0,FAIL,"ADV 146,508"
CMP,29.84,160369.55,751.0,FAIL,"ADV 160,370"
WEN,7.17,18001597.35,751.0,PASS,
KSS,18.2,2240266.1,751.0,PASS,
DENN,,,,FAIL,no bars returned
JACK,13.77,913089.5,751.0,FAIL,"ADV 913,090"
CAKE,84.46,742852.45,751.0,FAIL,"price $84.46, ADV 742,852"
BJRI,65.09,226223.95,751.0,FAIL,"price $65.09, ADV 226,224"
RUTH,,,,FAIL,no bars returned
GPS,,,,FAIL,no bars returned
ANF,90.89,512127.05,751.0,FAIL,"price $90.89, ADV 512,127"
CHS,,,,FAIL,no bars returned
BKE,41.99,219215.7,751.0,FAIL,"ADV 219,216"
CATO,3.27,84302.75,751.0,FAIL,"price $3.27, ADV 84,303"
KMT,34.86,415636.15,751.0,FAIL,"ADV 415,636"
ATKR,73.05,112647.15,751.0,FAIL,"price $73.05, ADV 112,647"
TRN,36.77,298848.85,751.0,FAIL,"ADV 298,849"
WOR,55.19,129975.15,751.0,FAIL,"price $55.19, ADV 129,975"
ASTE,56.22,61249.3,751.0,FAIL,"price $56.22, ADV 61,249"
GBX,51.54,302743.15,751.0,FAIL,"price $51.54, ADV 302,743"
NPK,121.98,35814.95,751.0,FAIL,"price $121.98, ADV 35,815"
MLKN,21.46,422425.55,751.0,FAIL,"ADV 422,426"
MGNI,17.92,1478378.25,751.0,PASS,
PLAB,30.94,660192.0,751.0,FAIL,"ADV 660,192"
SANM,218.56,327876.65,751.0,FAIL,"price $218.56, ADV 327,877"
PLXS,261.71,116273.7,751.0,FAIL,"price $261.71, ADV 116,274"
BHE,83.85,210866.1,751.0,FAIL,"price $83.85, ADV 210,866"
CEVA,38.76,352823.4,751.0,FAIL,"ADV 352,823"
DGII,65.8,213802.75,751.0,FAIL,"price $65.80, ADV 213,803"
VIAV,41.8,2649135.2,751.0,PASS,
UAA,6.74,6341342.05,751.0,PASS,
COLM,61.73,229918.85,751.0,FAIL,"price $61.73, ADV 229,919"
GIII,34.48,228128.6,751.0,FAIL,"ADV 228,129"
DXLG,0.6247,55422.75,751.0,FAIL,"price $0.62, ADV 55,423"
CRI,37.44,425652.8,751.0,FAIL,"ADV 425,653"
SWX,93.01,227874.3,751.0,FAIL,"price $93.01, ADV 227,874"
NWN,51.33,74384.4,751.0,FAIL,"price $51.33, ADV 74,384"
MGEE,82.4,88378.85,751.0,FAIL,"price $82.40, ADV 88,379"
OGS,79.98,263727.1,751.0,FAIL,"price $79.98, ADV 263,727"
CPK,134.61,105415.0,751.0,FAIL,"price $134.61, ADV 105,415"
ALE,,,,FAIL,no bars returned
AVA,42.18,211507.4,751.0,FAIL,"ADV 211,507"
VSH,40.8,4266515.45,751.0,PASS,
MOD,249.62,660547.25,751.0,FAIL,"price $249.62, ADV 660,547"
SUP,,,,FAIL,no bars returned
SMP,38.09,44210.75,751.0,FAIL,"ADV 44,211"
DORM,132.35,114053.7,751.0,FAIL,"price $132.35, ADV 114,054"
SLM,24.18,1674982.9,751.0,PASS,
NAVI,8.44,446021.8,751.0,FAIL,"ADV 446,022"
OMF,58.78,524268.35,751.0,FAIL,"price $58.78, ADV 524,268"
RDN,38.16,690734.15,751.0,FAIL,"ADV 690,734"
ESNT,64.42,293842.55,751.0,FAIL,"price $64.42, ADV 293,843"
MTG,28.96,961641.05,751.0,FAIL,"ADV 961,641"
NMIH,41.58,216341.3,751.0,FAIL,"ADV 216,341"
TPH,,,,FAIL,no bars returned
GRBK,70.96,79632.15,751.0,FAIL,"price $70.96, ADV 79,632"
CVCO,562.1,43026.7,751.0,FAIL,"price $562.10, ADV 43,027"
IBP,222.88,231625.35,751.0,FAIL,"price $222.88, ADV 231,625"
CSWI,,,,FAIL,no bars returned
HL,15.32,34309082.4,751.0,PASS,
CDE,15.24,23058191.45,751.0,PASS,
EGO,31.99,1441946.5,751.0,PASS,
AG,16.45,7743521.7,751.0,PASS,
MUX,17.59,544117.6,751.0,FAIL,"ADV 544,118"
JBLU,4.99,23999192.95,751.0,FAIL,price $4.99
ALK,44.75,1957470.4,751.0,PASS,
HA,,,,FAIL,no bars returned
RCUS,29.73,649852.15,751.0,FAIL,"ADV 649,852"
RIGL,36.82,186761.4,751.0,FAIL,"ADV 186,761"
MIRM,114.36,385625.35,751.0,FAIL,"price $114.36, ADV 385,625"
SUPN,47.19,450753.8,751.0,FAIL,"ADV 450,754"
PRGO,10.1,1784893.15,751.0,PASS,
ITCI,,,,FAIL,no bars returned
TDS,33.61,519431.6,751.0,FAIL,"ADV 519,432"
USM,,,,FAIL,no bars returned
ATNI,23.32,30416.25,751.0,FAIL,"ADV 30,416"
LUMN,6.53,8452246.85,751.0,PASS,
