ticker,assigned,price,adv,vol,actual,bars,status,reason
FLO,calm,7.75,3759052.2,37.411661687978864,medium,751,PASS,
SBRA,calm,22.03,1850766.6,23.711678194833656,calm,751,PASS,
VLY,calm,14.45,4355413.0,27.707236525497137,calm,751,PASS,
TDS,calm,33.61,519431.6,25.817998672510793,calm,751,FAIL,"ADV 519,432"
AROC,medium,38.39,1024564.0,31.56809602270102,medium,751,PASS,
KMT,medium,34.86,415636.15,46.491876400689705,medium,751,FAIL,"ADV 415,636"
HUN,medium,12.81,3352372.35,59.33675595972338,volatile,751,PASS,
WEN,medium,7.17,18001597.35,54.98700358007279,volatile,751,PASS,
MTDR,medium,51.71,861854.1,40.56979549886863,medium,751,FAIL,"price $51.71, ADV 861,854"
RCUS,medium,29.73,649852.15,61.88576172451496,volatile,751,FAIL,"ADV 649,852"
CLF,volatile,10.96,17869096.85,68.09391052593891,volatile,751,PASS,
MGNI,volatile,17.92,1478378.25,57.08696826459922,volatile,751,PASS,
KSS,volatile,18.2,2240266.1,81.34169834597928,volatile,751,PASS,
JBLU,volatile,4.99,23999192.95,62.60871066317435,volatile,751,FAIL,price $4.99
TROX,volatile,6.38,1542296.6,88.94416559898465,volatile,751,PASS,
VSH,volatile,40.8,4266515.45,62.2465206552674,volatile,751,PASS,
PLAB,volatile,30.94,660192.0,84.2624165440747,volatile,751,FAIL,"ADV 660,192"
UAA,volatile,6.74,6341342.05,54.38456832210746,volatile,751,PASS,
HL,alt,15.32,34309082.45,73.39765179263821,volatile,751,PASS,
SWX,alt,93.01,227874.3,18.04494579853988,calm,751,FAIL,"price $93.01, ADV 227,874"
RIGL,alt,36.82,186761.4,70.25700603900822,volatile,752,FAIL,"ADV 186,761"
